location_id,address,latitude,longitude
LOC001,"7634 Edward Shoal, Lake Davidmouth, AS 62340",25.1404340090864,55.1474209574995
LOC002,"502 Riley Street Apt. 421, Jessicastad, MH 91250",25.152734920289,55.3888954349887
LOC003,"055 Gerald Pine Apt. 729, New Alecborough, MI 20227",25.1830721776043,55.1699547116476
LOC004,"180 Hailey Forest Apt. 658, Smithfurt, IL 73018",25.1776545754954,55.3346427365453
LOC005,"266 Jamie Rest, Heathermouth, NC 04226",25.1776803997845,55.2170665358808
LOC006,"5521 Adam Lock Apt. 981, Mathewsberg, MI 08241",25.1927726080015,55.335753179301
LOC007,"0204 Spencer Village Suite 849, Smithland, VI 49263",25.2172061893343,55.1391604277527
LOC008,"91895 John Run Suite 609, Riosmouth, DC 22631",25.0117789360425,55.1527366513623
LOC009,"USNV Miller, FPO AP 28455",25.0222386157126,55.1997611082702
LOC010,"8369 Kelly Glens, North Carolyn, DC 46980",25.0713433017995,55.1959106376742
LOC011,"621 Diaz Isle, Thomasmouth, NE 72777",25.0423317560309,55.2448089792994
LOC012,"98397 Eric Lights, Port Michaela, AK 82386",25.1940792505174,55.1773566790506
LOC013,"USS Wyatt, FPO AP 54741",25.1247363470539,55.1055753730023
LOC014,"2668 Terrell Club Suite 491, Port Tammie, MH 37790",25.0607906959335,55.3387658442015
LOC015,"2895 Elijah Fields Suite 698, East Beth, MO 57981",25.2067861497397,55.1143299506677
LOC016,"0380 Cruz Shoals, Marthaside, AK 37384",25.2306678527389,55.266555565322
LOC017,"71497 Sarah Street Suite 514, Gibbsfort, NV 02955",25.2138669869383,55.2441690958477
LOC018,"003 Lester Wells, Bettychester, IN 98946",25.0328048234184,55.131341384545
LOC019,"06978 Kathryn Square Apt. 544, West Steven, TX 19993",25.142669692165,55.1878539267951
LOC020,"31805 Reed Locks, Port Allison, SD 33115",25.1456758764003,55.1729050660989
LOC021,"15958 Pam Flats Apt. 586, Tracymouth, MH 25288",25.0292829091488,55.2178818272578
LOC022,"7089 Ramos Turnpike Apt. 710, Andreaberg, NC 12411",25.2115527940982,55.2134870033649
LOC023,"9947 Todd Junctions Suite 155, Glennview, VI 28427",25.0767212538707,55.3403076520144
LOC024,"65364 Thompson Streets Apt. 448, Warrenstad, AZ 70039",25.193298794468,55.2590323167117
LOC025,"6581 Charles Fords, Lake Stephanieshire, MI 78470",25.2181525600352,55.1944106994593
LOC026,"60794 Morgan Island Apt. 149, Willieton, NM 45358",25.1586986050711,55.3792104616892
LOC027,"55760 Crystal Lock Apt. 827, Shermanfort, NJ 82528",25.2407110521041,55.1971046480846
LOC028,"1845 Hill Spurs Apt. 594, Port Carlos, WY 10528",25.0604781867348,55.1802026941876
LOC029,"1994 Richardson Crescent Apt. 424, Emilyberg, WA 10568",25.1386406719367,55.3871973748
LOC030,"2673 Amy Street Apt. 951, Nelsonhaven, RI 18756",25.1682337060823,55.3073234670307
LOC031,"5988 Megan Park, Kelseyshire, MO 32212",25.2050807427029,55.1471279716682
LOC032,"673 Matthew Roads, East Rebecca, UT 02635",25.106560040752,55.2493489175762
LOC033,"USCGC Smith, FPO AA 22230",25.0365268740634,55.2796649410844
LOC034,"8656 Chen Junction, East Bernard, KS 38911",25.0682572307402,55.3941605824636
LOC035,"553 Latoya Creek Suite 786, New Ricardo, MP 93797",25.0340582733861,55.1412357535313
LOC036,"PSC 0949, Box 1957, APO AE 03534",25.0368580260175,55.3332471283961
LOC037,"1307 Janet Alley Suite 638, Tammyville, WV 72539",25.0674073181685,55.3861425367592
LOC038,"96198 Ashley Hollow Suite 285, South Karen, TN 69856",25.2109750129253,55.2663063497341
LOC039,"8281 Johns Plains Apt. 185, East Craigstad, AR 19747",25.1672523735464,55.1962112903624
LOC040,"90770 Eddie Glens, West Emily, MS 39183",25.230144630928,55.3680664349517
